Date,Open,High,Low,Close,period,rolling_volatility,volatility_regime,ma_20,ma_50,trend_ma,trend_regime,trend_volatility_regime,return_t,forward_return_1,forward_return_3,forward_return_5,forward_return_10,return_bucket
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,development,,,,,,,,,0.011592998937300258,0.056396097444164184,0.09748338669286127,0.12791217043786896,
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,development,,,,,,,,0.011469256580333154,0.040019800594747634,0.06313934502225149,0.08540192245618372,0.14516780499697823,return > 0%
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,development,,,,,,,,0.04094626156931791,0.0026821772113834186,0.04168032642763886,0.04343324458055098,0.10006648466485357,return > 0%
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,development,,,,,,,,0.0032118728998469237,0.017799388989692133,0.039112528998744844,0.05209387837036239,0.09108025217068105,return > 0%
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,development,,,,,,,,0.018957147097464544,0.01965006147994197,0.02136590755770751,0.038080315688221456,0.0512595640652691,return > 0%
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,development,,,,,,,,0.01956577078199495,-5.061650807980378e-05,0.012441478369796588,0.026290234068725882,0.0785871706726371,return > 0%
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,development,,,,,,,,0.0013482628604715163,0.0005873100871669479,0.01696168145325383,0.05533046452282164,0.10204352067625222,return > 0%
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,development,,,,,,,,0.0003340660905122306,0.011704049828849206,0.025542718556899713,0.05380656251080507,0.11777973159202393,return > 0%
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,development,,,,,,,,0.012154600685659434,0.004983518572267531,0.04290037946862668,0.03790689288195814,0.08642131669652175,return > 0%
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,development,,,,,,,,0.004159601200102392,0.009449406614059574,0.037269720669869555,0.01266555763342625,0.12922431591033545,return > 0%
